already_projected_amount,co_benefits,costs_and_benefits_private,costs_and_benefits_public,filename,funding,ghg_reduction_2020,ghg_reduction_2025,ghg_reduction_2030,ghg_reduction_2035,ghg_reduction_2040,ghg_reduction_2050,is_adaptation_policy,is_emissions_reduction_policy,policy_description,quantification_of_ghg_emissions_reductions,relative_cost,responsibility_or_implementation,responsibility_or_implementation_details,sector,supporting_activities,target_or_performance_metric,target_year,timeframe
,,,,CA_City_Encinitas_2020_files_part36.htm,,-,,14,,,,False,True,Adopt a Residential Energy Efficiency Ordinance: Adopt an ordinance requiring all existing residential property owners conducting major renovations to implement energy efficiency retrofits.,,,,,Building Efficiency,,Retrofit 250 homes by 2030,2030,
,,,,CA_City_Encinitas_2020_files_part36.htm,,-,,466,,,,False,True,"Require Decarbonization of New Residential Buildings: Adopt an ordinance requiring electrification of new residential buildings, including single family homes and low-rise multi-family homes.",,,,,Building Efficiency,,"Complete 1,200 new low-rise residential electrification by 2030",2030,
,,,,CA_City_Encinitas_2020_files_part36.htm,,-,,57,,,,False,True,"Adopt Higher Energy Efficiency Standards for Commercial Buildings: Evaluate adopting an ordinance requiring 1) all new commercial buildings, including commercial portion of mixed-use projects, and 2) commercial building additions of 1,000 square feet or greater or alterations with a permit value of at least $200,000 to meet the 2019 California Green Building Standards Code Nonresidential Tier 1 Voluntary Measures.",,,,,Building Efficiency,,"Reduce 1.4 million kWh electricity use and 5,000 therms natural gas use by 2030.",2030,
,,,,CA_City_Encinitas_2020_files_part36.htm,,-,,97,,,,False,True,"Require Decarbonization of New Commercial Buildings: Adopt a building ordinance that requires all new commercial buildings, including the commercial portion of mixed-use projects, to install electric conduit and wiring sufficient to operate electrical appliances and require electric appliances to be installed.",,,,,Building Efficiency,,"Reduce energy use in commercial spaces (reduce 54,000 kWh and 500,000 therm)",2030,
,,,,CA_City_Encinitas_2020_files_part36.htm,,233,,481,,,,False,True,Supply Municipal Facilities with Onsite Renewable Energy: Supply municipal facilities with onsite renewable energy to achieve 'Net Zero Electricity' municipal operations. Implement 'City of Encinitas Solar Assessment Report' by installing 1.3 MW of solar systems at city facilities.,,,,,Renewable Energy,,100% of City facility electricity is supplied by onsite renewable energy generation (1.3 MW equivalent).,2030,
,,,,CA_City_Encinitas_2020_files_part36.htm,,130,,178,,,,False,True,"Implement a Local Shuttle System: Implement service routes recommended in Encinitas Transit Feasibility Study, using CNG buses for these routes, or alternate shuttle system, as approved by City Council.",,,,,Transportation,,By 2020: Express Services to educational facilities - one route to Mira Costa College and one route to La Costa Canyon High School. By 2025: One route to Encinitas Circulator and one to Encinitas COASTER connection.,2025,
,,,,CA_City_Encinitas_2020_files_part36.htm,,440,,"3,582",,,,False,True,"Require Commercial Electric Vehicle Charging Stations: Starting in 2018, require installation of EVCS at 8% of the total number of parking spaces.",,,,,Transportation,,Install 490 electric vehicle charging stations.,2030,
,,,,CA_City_Encinitas_2020_files_part36.htm,,128,,142,,,,False,True,"Adopt a Leaf Blower Ordinance to Limit Use of 2-stroke Leaf Blowers: Starting in 2018, prohibit 2-stroke leaf blowers and implement the phase-out of leaf blower emissions.",,,,,Off-Road Equipment,,Reduce all emissions from 2-stroke leaf blowers use.,2030,
,,,,CA_City_Encinitas_2020_files_part36.htm,,,,66,,,,True,False,"Develop and Implement an Urban Tree Planting Program: Starting in 2018, develop and implement an Urban Tree Planting Program, including standards to right-size trees and minimize pruning and irrigation needs, to promote increased carbon sequestration by trees within the community.",,,,,Carbon Sequestration,,"Plant 100 net new trees annually for a total of 1,150 net new trees planted, increasing the tree canopy coverage from 22 to 22.32 percent.",2030,
,,,,CA_County_SanDiego_2018_files_part195.htm,,,,,,,,False,True,Convert stationary petroleum-diesel or gas-powered irrigation pumps to electric through San Diego County Air Pollution Control District financial incentives,,,,,,,,,2015-2030
,,,,CA_County_SanDiego_2018_files_part144.htm,,,,,,,,False,True,Achieve 80% solid waste diversion in the unincorporated county by 2030,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part138.htm,,,,,,,,False,True,increasing the share of renewable electricity distributed through the grid,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part138.htm,,,,,,,,False,True,increase the County’s use of renewables through on-site development rather than Direct Access contracts,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part138.htm,,,,,,,,False,True,development of on-site renewable electricity systems,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part138.htm,,,,,,,,False,True,"negotiate and execute one or more PPAs for the development and operation of a roughly 13-megawatt PV system, and one or more battery storage facilities at multiple County sites",,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part228.htm,,,,,,,,True,False,"Evaluate the vulnerabilities of the county’s water supply systems and networks through collaboration with water-related federal, State, and local agencies and organizations.",,,,,Water Supply,,,,
,,,,CA_County_SanDiego_2018_files_part228.htm,,,,,,,,True,False,Deploy innovative options to improve water-use efficiency and conservation capacity to meet future water demand.,,,,,Water Conservation,,,,
,,,,CA_County_SanDiego_2018_files_part228.htm,,,,,,,,True,False,Collaborate with regional partners on water supply systems and conservation efforts.,,,,,Water Supply,,,,
,,,,CA_County_SanDiego_2018_files_part228.htm,,,,,,,,True,False,"Use on-site greywater and rainwater reuse, and recycled water systems.",,,,,Water Conservation,,,,
,,,,CA_County_SanDiego_2018_files_part228.htm,,,,,,,,True,False,Transfer of knowledge and technologies to assist farms with new production methods and drought-tolerant species.,,,,,Agriculture,,,,
,,,,CA_County_SanDiego_2018_files_part228.htm,,,,,,,,True,False,Reduce potable water use in outdoor landscaping.,,,,,Water Conservation,,,,
,,,,CA_County_SanDiego_2018_files_part228.htm,,,,,,,,True,False,Expand existing water conservation education outreach programs for residents and businesses.,,,,,Education and Outreach,,,,
,,,,CA_County_SanDiego_2018_files_part228.htm,,,,,,,,True,False,"Collaborate with federal, State, and local agencies and organizations to identify future water supplies, explore alternative supply sources, and improve capacity.",,,,,Water Supply,,,,
,,,,CA_County_SanDiego_2018_files_part76.htm,,,,,,,,False,False,Air Quality,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part76.htm,,,,,,,,False,False,Public Health,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part76.htm,,,,,,,,False,False,Community Health,,,,,,,,,
,"Improved Air Quality, Reduced Energy use, Improved Public Health, Reduced Traffic Congestion, Enhanced Safety, Enhanced Community Character.",,,CA_City_ElCajon_2020_files_part37.htm,,,,"2,200",,,,False,True,Use Transportation System Management to Reduce Fuel Use,,,Interagency participation to implement projects in the City's right-of-way.,Improve traffic flow and increase efficiency of the transportation network.,Transportation,,To reduce fuel consumption citywide,2030,
,,,,CA_City_ElCajon_2020_files_part37.htm,,,,304,,,,False,True,Install Roundabouts,,,,Install roundabouts on El Cajon Boulevard as identified in the TDSP.,Transportation,,Install three roundabouts by 2030.,2030,
,,,,CA_City_ElCajon_2020_files_part37.htm,,,,"1,334",,,,False,True,Increase Renewable and Alternative Fuel Use in Construction Equipment,,,,Increase the use of renewable and alternative fuel use in construction equipment.,Construction,,Require new projects to reduce construction emissions by 10 percent by 2030.,2030,
,,,,CA_County_SanDiego_2018_files_part166.htm,,,,,,,,True,False,Reduce potable water consumption at County facilities by 15% below 2014 levels by 2020 and 20% below 2014 levels by 2030,,,,,Water management,,"15% reduction below 2014 levels by 2020, and 20% below 2014 levels by 2030",2020 and 2030,2020 and 2030
,,,,CA_County_SanDiego_2018_files_part166.htm,,244,,,,,,False,True,2020 Anticipated GHG Reduction,,,,,General,,,2020,2020
,,,,CA_County_SanDiego_2018_files_part166.htm,,,,276,,,,False,True,2030 Anticipated GHG Reduction,,,,,General,,,2030,2030
,,,,CA_County_SanDiego_2018_files_part166.htm,,,,,,,325,False,True,2050 Anticipated GHG Reduction,,,,,General,,,2050,2050
,,,,CA_City_DelMar_2016_files_part68.htm,,,,,,,,True,True,Reduce residential indoor water consumption in remodeled single-family homes.,,,,,Water,,20-percent reduction in water consumption by 2020 and 40-percent reduction by 2035.,,
,,,,CA_City_DelMar_2016_files_part68.htm,,,,,,,,False,True,Implement a Water and Energy Conservation Ordinance (WECO) to require water and energy efficiency upgrades applicable to existing homes at time of sale.,,,,,Water and Energy,,,,
,,,,CA_City_DelMar_2016_files_part68.htm,,,,,,,,False,True,Support implementation of PACE programs in Del Mar and continue to assess other efficiency financing tools for possible use in the community.,,,,,Water and Energy,,,,
,,,,CA_City_DelMar_2016_files_part68.htm,,,,,,,,True,False,Maintain a water waste reporting public education and enforcement program to repair leaks and decrease over-irrigation.,,,,,Water,,,,
,,,,CA_City_DelMar_2016_files_part68.htm,,,,,,,,True,True,Actively promote water efficiency rebate programs offered by San Diego County Water Authority (SDCWA) and Metropolitan Water District (MWD).,,,,,Water,,,,
,,,,CA_County_SanDiego_2018_files_part204.htm,,,,,,,,False,True,"35,146 trees planted through new residential development",,,,,Forestry/Urban Development,,"35,146 trees planted",2030,2030
,,,,CA_County_SanDiego_2018_files_part204.htm,,,,,,,,False,True,"28,202 trees planted through new residential development",,,,,Forestry/Urban Development,,"28,202 trees planted",2050,2031-2050
,"Improved Air Quality, Improved Public Health, Enhanced Community Character, Increased Local Green Jobs, Improved Resiliency to Climate Change Impacts",,,CA_City_ElCajon_2020_files_part42.htm,,,,"7,832",,,,False,True,Reduce Solid Waste and Increase Recycling,,,Citywide,City Action SW-1.1: Implement Solid Waste Reduction and Recycling Targets,Waste Management,"Provide education outreach on recycling options, Continue working with the City’s waste hauler on recycling educational outreach, Develop a program for organic diversion and recycling.",75 percent waste diversion by 2020,2020,
,,,,CA_County_SanDiego_2018_files_part113.htm,,"6,486",,,,,,False,True,Reduce energy use intensity at County facilities by 10% below 2014 levels by 2020,"6,486 GHG Reduction in 2020",,,,public facilities,,energy use intensity reduction by 10% below 2014 levels,2020,by 2020
,,,,CA_County_SanDiego_2018_files_part113.htm,,,,"10,702",,,,False,True,Reduce energy use intensity at County facilities by 20% below 2014 levels by 2030,"10,702 GHG Reduction in 2030",,,,public facilities,,energy use intensity reduction by 20% below 2014 levels,2030,by 2030
,,,,CA_County_SanDiego_2018_files_part26.htm,,,,,,,,False,True,Energy Savings,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part26.htm,,,,,,,,False,True,Carbon Sequestration,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part203.htm,,,,,,,,False,True,Amend Title 8 of the San Diego County Code of Regulatory Ordinances (Water Conservation in Landscaping Ordinance),,Low,PDS,,Water Quality,,,,2020
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Participate in regional partnerships aimed at collaborative implementation of specific CAP *strategies or other emissions reduction efforts.,,,,,cross-sector,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Building Retrofit Program,,,,,Energy,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Shade Tree Program,,,,,Forestry,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Solar Photovoltaic Program,,,,,Energy,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Solar Hot Water Program,,,,,Energy,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Community Choice Aggregation Program,,,,,Energy,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Bicycle Safety Program,,,,,Transportation,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Transportation Demand Management Program,,,,,Transportation,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Urban Water Management Plan Programs,,,,,Water,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Food Scrap and Yard Waste Diversion,,,,,Waste,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,75% Waste Diversion Strategy,,,,,Waste,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Municipal Energy Efficiency Goal,,,,,Energy,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Alternative Refueling Infrastructure Development,,,,,Transportation,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Municipal Fleet Transition,,,,,Transportation,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Zero Net Energy Construction,,,,,Buildings,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Bicycle and Pedestrian Infrastructure Development,,,,,Transportation,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Mixed-Use and Transit-Oriented Development,,,,,Transportation,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Construction and Demolition Waste Diversion,,,,,Waste,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Urban Forest Management,,,,,Forestry,,,,
,,,,CA_City_LaMesa_2018_files_part42.htm,,,,,,,,False,True,Expanded Urban Forestry Program,,,,,Forestry,,,,
,,,,CA_County_SanDiego_2018_files_part114.htm,,,,,,,,False,True,a 10% reduction in energy use intensity below 2014 levels at County facilities by 2020 and a 20% reduction in energy use intensity below 2014 levels by 2030.,,,,County's Strategic Energy Plan (SEP) and Energy Use Strategy,Energy,"energy audits, rebates, and incentives offered by local utilities; implementing energy efficiency improvement and retrofit projects; evaluating new technologies that can help reduce energy consumption; and implementing a County demand response program",10% reduction in energy use intensity below 2014 levels by 2020 and 20% reduction by 2030,2020 and 2030,2020-2030
,,,,CA_County_SanDiego_2018_files_part114.htm,,,,,,,,False,True,GHG reduction measure,,,,,GHG Emissions,,2030 GHG reduction target,2030,Until 2030
,"Improved Air Quality, Reduced Energy Use, Improved Public Health, Enhanced Safety, Reduced Heat Island Effect, Enhanced Community Character, Increased Local Green Jobs",,,CA_City_ElCajon_2020_files_part39.htm,,,,400 MTCO2e,,,,False,True,Incentivizing residential and commercial units to be more energy efficient,,,,,Buildings,Encourage energy efficiency improvements through rebates or incentives,Reduce emissions by approximately 400 MTCO2e by 2030,2030,
,,,,CA_City_ElCajon_2020_files_part39.htm,,,,29 MTCO2e,,,,False,True,City Action BE-1.1: Require Energy Audits for Additions to Existing Residential Units,,,,,Buildings,,Complete energy audits on an average of 25 homes per year through 2030,2030,
,,,,CA_City_ElCajon_2020_files_part39.htm,,,,43 MTCO2e,,,,False,True,City Action BE-1.2: Continue the Critical Home Repair Program and Home Rehabilitation Loans,,,,,Buildings,,Complete retrofits on an average of six homes annually through 2030,2030,
,,,,CA_City_ElCajon_2020_files_part39.htm,,,,254 MTCO2e,,,,False,True,City Action BE-2.1: Require Energy Audits of Non-Residential Additions and Improvements,,,,,Buildings,,Complete 40 energy audit projects annually through 2030,2030,
,,,,CA_City_ElCajon_2020_files_part39.htm,,,,17 MTCO2e,,,,False,True,City Action BE-3.1: Continue Energy Efficiency Projects in Municipal Facilities,,,,,Buildings,,"Reduce electricity use by 100,000 kWh at City facilities through lighting and other retrofits by 2030",2030,
,,,,CA_City_ElCajon_2020_files_part39.htm,,,,72 MTCO2e,,,,False,True,City Action BE-3.2: Retrofit High Pressure Sodium Street Lights,,,,,Buildings,,Complete all City-owned street lights retrofits by 2020,2020,
,,,,CA_County_SanDiego_2018_files_part121.htm,,0,,"255,991",,,"340,245",False,True,Achieve 90% renewable electricity for the unincorporated county by 2030,,,,,Electricity,,90% renewable electricity by 2030,2030,By 2030
,"Reduced Waste, Improved Water Quality",,,CA_City_ImperialBeach_2019_files_part37.htm,,,,"3,798 MT CO2e",,,,False,True,Adopt a Zero Waste by 2050 policy and work with the City’s waste service company (currently EDCO) to achieve 80% landfill diversion by 2030.,51% of emission reductions from local measures by 2030,,City and EDCO,,Waste Management,Community outreach and education,80% waste diversion by 2030,2050,
,,,,CA_City_DelMar_2016_files_part82.htm,,3 MTCO2e,,,2 MTCO2e,,,False,True,Adopt a Bicycle Strategy,,,,,Transportation,,Install 2 bicycle lane miles per square mile by 2020 and 2.1 bicycle lane miles per square mile by 2035,,
,,,,CA_City_DelMar_2016_files_part82.htm,,,,,,,,False,True,Incorporate a “Complete Streets” approach,,,,Consider every transportation mode and user for applicable arterial streets,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part82.htm,,,,,,,,False,True,Explore implementation of a bike share program,,,,Provided through the hotels,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part82.htm,,,,,,,,False,True,Explore implementation of a bike valet program for special events,,,,Facilitate use of bicycles to attend special events,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part82.htm,,,,,,,,False,True,Explore a bicycle master plan for the City,,,,"Analyze bicycle paths with logical destinations within the City, connect to the regional bicycle path network, and prioritize the most effective bicycle path routes for implementation.",Transportation,,,,
,,,,CA_City_DelMar_2016_files_part54.htm,,,,,,,,False,True,Installation of non-residential PV on existing buildings in Del Mar,,,,Del Mar Fairgrounds and City Hall are new opportunities for installation,Non-residential Photovoltaics,,1.2 MW of PV by 2020 and 1.5 MW by 2035,"2020, 2035",
,,,,CA_City_DelMar_2016_files_part54.htm,,,,,,,,False,True,Work with SDG&E to develop targeted educational and marketing materials,,,,Through website or e-blast,Business Engagement,,Reach 10 percent of businesses annually,,
,,,,CA_City_DelMar_2016_files_part54.htm,,,,,,,,False,True,Work with SDG&E to enroll Del Mar’s top business 10 energy users in a benchmarking program,,,,In collaboration with SDG&E,Energy Efficiency,,Top 10 energy users,,
,,,,CA_City_DelMar_2016_files_part54.htm,,,,,,,,False,True,Facilitate the permit process for 25 percent of planning or building applications for solar projects by 2020,,,,Beyond state requirements,Solar Projects,,25 percent facilitation by 2020,2020,
,,,,CA_City_DelMar_2016_files_part54.htm,,,,,,,,False,True,Encourage San Diego County Fairgrounds and hotels in Del Mar to install additional PV,,,,Target fairgrounds and hotels,Renewable Energy,,Additional PV installations,,
,,,,CA_City_DelMar_2016_files_part54.htm,,122 MTCO2e,,,199 MTCO2e,,,False,True,Residential Efficiency Retrofits—Single-Family Homes,,,,,Residential Efficiency,,"E1, E2, E3, E4 measures","2020, 2035",
,,,,CA_County_SanDiego_2018_files_part126.htm,,,,,,,,False,True,Establish a Renewable Energy Program,,High,,PDS & DGS,,,,,2025
,,,,CA_County_SanDiego_2018_files_part126.htm,,,,,,,,False,True,Implement the Comprehensive Renewable Energy Plan (CREP) Phase One Report,,,,,,,,,Ongoing
,,,,CA_County_SanDiego_2018_files_part231.htm,,,,,,,,True,False,Collaborate with regional partners on sea-level rise preparedness initiatives,,,,,sea-level rise adaptation,,,,
,,,,CA_County_SanDiego_2018_files_part231.htm,,,,,,,,True,False,Mapping to identify areas affected by sea-level rise,,,,,sea-level rise adaptation,,,,
,,,,CA_County_SanDiego_2018_files_part231.htm,,,,,,,,True,False,Support and monitor ongoing analysis of sea-level rise data,,,,,sea-level rise adaptation,,,,
,,,,CA_County_SanDiego_2018_files_part231.htm,,,,,,,,True,False,Updates to the County’s MHMP to incorporate sea-level rise,,,,,sea-level rise adaptation,,,,
,,,,CA_County_SanDiego_2018_files_part154.htm,,,,,,,,False,True,CalGreen Tier 1 - Voluntary,,,,,,,,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,,,,False,True,Getting people out of their single occupancy vehicles and electrifying vehicles that are driven,,,,,Transportation,,,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,,,,False,True,Ensure that existing and potential electric vehicle owners can find adequate charging infrastructure,,,,,Transportation,,,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,,,,False,True,Add plug-in vehicles to its municipal fleet and encourage plug-in adoption for car-share organizations,,,,,Transportation,,,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,,,,False,True,Support public outreach to educate and motivate residents to drive electric vehicles,,,,,Transportation,,,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,10 percent,,,False,True,Legislative reductions reducing transportation emissions in 2035 by 10 percent,,,,,Transportation,,,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,14 percent,,,False,True,Measures under the transportation strategy will reduce transportation emissions by an additional 14 percent,,,,,Transportation,,,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,"17,495 MTCO2e",,,False,True,Increase EVs and AFVs VMT to 30% of total VMT,"17,495 MTCO2e",,,,Transportation,,30% of total VMT,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,608 MTCO2e,,,False,True,Increase commuting by vanpools to 20% of labor force,608 MTCO2e,,,,Transportation,,20% of labor force,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,464 MTCO2e,,,False,True,Reduce average commuter trip distance by 1 mile,464 MTCO2e,,,,Transportation,,1 mile reduction,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,429 MTCO2e,,,False,True,Increase commuting by mass transit to 10% of labor force,429 MTCO2e,,,,Transportation,,10% of labor force,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,325 MTCO2e,,,False,True,Increase preferred parking for EVs and AFVs to 20% of eligible parking spots,325 MTCO2e,,,,Transportation,,20% of eligible parking spots,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,144 MTCO2e,,,False,True,Retime four traffic signals,144 MTCO2e,,,,Transportation,,4 traffic signals re-timed,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,86 MTCO2e,,,False,True,Promote telecommuting to achieve 10% participation,86 MTCO2e,,,,Transportation,,10% participation,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,56 MTCO2e,,,False,True,Convert municipal gasoline fueled vehicle fleet to EVs to achieve 50% gasoline reduction,56 MTCO2e,,,,Transportation,,50% gasoline reduction,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,16 MTCO2e,,,False,True,Increase commuting by walking to 5% of labor force,16 MTCO2e,,,,Transportation,,5% of labor force,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,11 MTCO2e,,,False,True,Increase commuting by bicycling by achieving approximately 17 bike lane miles,11 MTCO2e,,,,Transportation,,17 bike lane miles,,
,,,,CA_City_SolanaBeach_2017_files_part45.htm,,,,,9 MTCO2e,,,False,True,Promote alternative work schedule to achieve participation from 1% of labor force,9 MTCO2e,,,,Transportation,,1% of labor force,,
,,,,CA_County_SanDiego_2018_files_part185.htm,,,,,,,,False,True,Ozone air quality standards for mobile agricultural equipment,,,,,,,,,
The goal of an 8 percent reduction by 2035 is the default value in the EPIC mitigation calculator.,,There would be no private costs for this measure.,Costs to the City of Carlsbad are from implementing the improvements to the water utilities system. Benefits occur by reducing energy costs and having newer water delivery infrastructure.,CA_City_Carlsbad_2020_files_part103.htm,,,,,713 MTCO2e,,,False,True,"Goal: Reduce the intensity of GHG emissions from water utilities (including water supply, wastewater, and recycled water) conveyance, treatment, and distribution by 8 percent by 2035.",The EPIC mitigation calculator was used to quantify emission reductions for Measure N.,,City of Carlsbad,The City of Carlsbad would be responsible for making the improvements.,Water Utilities System Improvements,,8 percent reduction by 2035,,
There is no projection for this measure.,,Costs to homeowners would be from constructing and maintaining greywater and rainwater collection systems. Benefits would accrue over time through water savings.,Costs to the City of Carlsbad are from hosting workshops and developing or reviewing greywater and rainwater collection manuals to adopt.,CA_City_Carlsbad_2020_files_part103.htm,,,,,137 MTCO2e,,,False,True,Measure O: Encourage the Installation of Greywater and Rainwater Collection Systems,,,Homeowners and City of Carlsbad,Homeowners would be responsible for the installation of greywater and rainwater collection systems. The City of Carlsbad will host greywater and rainwater harvesting workshops.,Water Utilities System Improvements,,15 percent of homes by 2035,,
,,,,CA_County_SanDiego_2018_files_part182.htm,,0,,"6,737",,,"6,679",False,True,Convert farm equipment used in the unincorporated county from gas- and petroleum-diesel-powered to electric to achieve an eight percent conversion rate by 2030,,,,,Agriculture,,Eight percent conversion rate,2030,by 2030
,,,,CA_County_SanDiego_2018_files_part66.htm,,,,,,,,False,True,Shared parking is a parking management tool that allows parking facilities to be used more efficiently by sharing spaces with more than one user.,,,,,Transportation,,,,
,,,,CA_County_SanDiego_2018_files_part66.htm,,,,,,,,False,True,"The County will update the Zoning Ordinance to require shared parking facilities for uses in new non-residential development that have staggered parking demands at different times of the day. In addition, the updated Zoning Ordinance will address reductions in standard parking requirements for employee parking, and will establish minimum requirements for carpool/vanpool, shuttle, and Electric-Vehicle-only parking spaces.",,,,,Transportation,,,,
,,,,CA_City_DelMar_2016_files_part122.htm,,,,,,,,False,True,Reinvest CCE profits in subsidizing energy upgrades for low-income and senior residents,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part122.htm,,,,,,,,False,True,"Invest in clean transportation for seniors; e.g., an electric bus for DMCC and city emergency evacuation",,,,,,,,,
,,,,CA_City_DelMar_2016_files_part122.htm,,,,,,,,False,True,Ensure that new multi-unit construction meets Zero Net Energy (ZNE) standards as soon as the state adopts the ZNE building code in 2020,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part122.htm,,,,,,,,False,True,Implement a local bike sharing program to connect residents with transit stops,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part122.htm,,,,,,,,True,False,Ensure that outreach about CAP implementation is designed to appeal to all residents including the elderly and low-income renters,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part122.htm,,,,,,,,False,True,Advocate for regional green jobs and job training at SANDAG and the County of San Diego,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part122.htm,,,,,,,,False,True,Partner with Renewable Cities San Diego for multi-unit solar installation and training of local workforce,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part122.htm,,,,,,,,False,True,Work with local transit agencies to increase the frequency and accessibility of bus and light rail transportation,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part229.htm,,,,,,,,True,False,Collaborate with regional partners on wildfire prevention and preparedness,,,County and other relevant agencies,,Emergency Preparedness / Wildfire Management,,"Strategies include mapping of risk locations and critical infrastructure, strategy coordination, coordination of emergency systems, and expansion of underground utilities.",,
,,,,CA_County_SanDiego_2018_files_part229.htm,,,,,,,,True,False,Adopt measures to reduce the potential for catastrophic wildfires to occur and the adverse health impacts associated with wildfire,,,County and other relevant agencies,,Emergency Preparedness / Public Health,,,,
,,,,CA_County_SanDiego_2018_files_part229.htm,,,,,,,,True,False,Preserve water quality and ecological health through restoration efforts in previously burned and future burn areas,,,County and other relevant agencies,,Water Management / Environmental Conservation,,,,
,,,,CA_County_SanDiego_2018_files_part229.htm,,,,,,,,True,False,Expansion of existing underground utilities program,,,County and other relevant agencies,,Infrastructure,,,,
,"Improved air quality, fuel savings, VMT reductions, enhanced pedestrian or traffic safety, and improved public health.","A new NEV costs between $10,000 and $17,000. NEV batteries are typically small and can charge via Level 1 (standard wall outlet) chargers.","The cost of 20 Level 1 chargers would be $30,000, assuming $1,500 per charger, which the City would incur.",CA_City_Coronado_2022_files_part94.htm,,,,,,,,False,True,Implement NEV Infrastructure and Outreach Program,"The program would save 4,176 MTCO2e over the 20 years",$7 per MTCO2e reduced per year,,"Implementation of the NEV Transportation Program would need to include the necessary infrastructure, including NEV parking, charging facilities, striping, signage, education on NEV safety, and NEV/bicycle shared lanes throughout the City.",Transportation,,25 percent of households have a NEV by 2030,2045,2030
,,,,CA_County_SanDiego_2018_files_part77.htm,,,,,,,,False,True,Implement the 2016 Green Fleet Action Plan Implementation Strategy,,Low,,DGS,transportation,,,,2020
,,,,CA_County_SanDiego_2018_files_part77.htm,,,,,,,,False,True,Develop strategies to address barriers to alternative fuel deployment,,,,,energy,,,,Ongoing
,,,,CA_City_Escondido_2021_files_part69.htm,,,,,,,,False,True,Increase Use of Zero-Emission or Alternative Fuel Vehicles,,,Responsible Department or Agency: Various,,Transportation,,,,
,,,,CA_City_Escondido_2021_files_part69.htm,,,,,,,,False,True,Reduce Fossil Fuel Use,,,Responsible Department or Agency: Various,,Transportation,,,,
